open,high,low,close,volume,amount,timestamps
386.2,386.2,371.17,372.14,52156,19409333.84,2018-10-18
364.2,401.2,361.28,396.2,76199,30190043.8,2018-10-19
401.2,428.22,401.2,419.2,73109,30647292.8,2018-10-22
415.2,415.2,361.2,367.94,123113,45298197.22,2018-10-23
354.31,376.2,346.2,363.19,76113,27643480.47,2018-10-24
346.2,348.7,334.78,345.2,75568,26086073.599999998,2018-10-25
345.2,351.2,334.18,336.3,55327,18606470.1,2018-10-26
275.29,275.29,275.29,275.29,49076,13510132.040000001,2018-10-29
236.2,269.2,235.22,250.2,204397,51140129.4,2018-10-30
253.2,281.2,248.2,275.1,96885,26653063.500000004,2018-10-31
281.2,311.7,277.45,289.2,98107,28372544.4,2018-11-01
311.2,326.2,298.44,326.1,89157,29074097.700000003,2018-11-02
319.2,319.2,297.97,302.0,75517,22806134.0,2018-11-05
300.2,300.36,284.21,292.2,45566,13314385.2,2018-11-06
295.2,301.15,288.21,292.6,38108,11150400.8,2018-11-07
300.2,303.2,294.2,296.54,33764,10012376.56,2018-11-08
293.42,295.2,288.2,288.2,24337,7013923.399999999,2018-11-09
279.2,280.4,263.0,278.2,67824,18868636.8,2018-11-12
272.32,296.2,269.2,296.2,66429,19676269.8,2018-11-13
296.16,296.16,278.75,281.3,41767,11749057.1,2018-11-14
285.0,291.0,281.7,285.9,30833,8815154.7,2018-11-15
287.2,292.2,284.23,286.2,28939,8282341.8,2018-11-16
286.5,298.2,285.31,295.22,36179,10680764.38,2018-11-19
291.2,294.2,286.2,287.8,26943,7754195.4,2018-11-20
280.2,295.1,279.88,290.9,27107,7885426.3,2018-11-21
291.35,293.53,284.2,290.7,21213,6166619.1,2018-11-22
290.2,293.5,283.1,283.1,20126,5697670.600000001,2018-11-23
284.2,286.4,278.2,278.31,19120,5321287.2,2018-11-26
278.2,281.19,272.7,274.3,20234,5550186.2,2018-11-27
277.05,285.39,271.7,283.2,27738,7855401.6,2018-11-28
292.23,296.0,275.21,277.8,45069,12520168.200000001,2018-11-29
283.2,295.09,279.2,291.2,49010,14271712.0,2018-11-30
315.2,331.2,310.97,327.4,83415,27310070.999999996,2018-12-03
329.19,330.46,321.2,328.43,31474,10337005.82,2018-12-04
323.7,342.7,321.2,336.3,41588,13986044.4,2018-12-05
326.2,332.18,316.56,318.0,37758,12007044.0,2018-12-06
321.8,325.06,310.9,313.2,26842,8406914.4,2018-12-07
302.2,313.7,300.38,303.43,24641,7476818.63,2018-12-10
303.2,312.75,303.2,309.19,16317,5045053.2299999995,2018-12-11
314.99,315.4,309.0,315.2,19922,6279414.399999999,2018-12-12
316.2,333.08,315.8,327.95,40399,13248852.049999999,2018-12-13
324.21,326.0,318.2,319.16,24554,7836654.640000001,2018-12-14
318.77,322.17,311.21,316.72,24896,7885061.120000001,2018-12-17
312.08,317.74,311.2,317.14,19222,6096065.08,2018-12-18
315.2,317.19,302.23,304.0,25716,7817664.0,2018-12-19
302.42,307.7,295.09,300.7,26941,8101158.699999999,2018-12-20
297.2,299.65,288.41,293.61,30640,8996210.4,2018-12-21
289.7,297.11,284.2,294.2,19110,5622162.0,2018-12-24
288.42,293.7,279.81,291.99,26593,7764890.07,2018-12-25
290.01,294.6,284.2,286.28,17866,5114678.4799999995,2018-12-26
296.2,298.05,288.42,289.2,29494,8529664.799999999,2018-12-27
289.5,322.6,286.2,316.21,63678,20135620.38,2018-12-28
336.18,338.2,321.21,325.18,62286,20254161.48,2019-01-02
326.17,327.86,312.0,316.2,30977,9794927.4,2019-01-03
313.48,333.87,308.22,328.2,37683,12367560.6,2019-01-04
334.2,338.2,328.42,331.69,34750,11526227.5,2019-01-07
331.7,338.2,326.48,330.99,28838,9545089.620000001,2019-01-08
336.19,352.36,335.24,342.32,49892,17079029.44,2019-01-09
343.33,351.08,336.45,344.97,29044,10019308.680000002,2019-01-10
351.2,363.2,344.95,362.08,38884,14079118.719999999,2019-01-11
